HS,TS,TA,HA,TT,C
7210.333,1160,1657,5718,4.51819,41.19250
7315.667,1160,1721,5630,4.52542,41.20500
7345.500,1160,1802,5362,4.53266,41.21250
7385.833,1160,1841,5282,4.53990,41.21000
7500.500,1160,1822,5144,4.54714,41.21500
7575.500,1160,1875,5030,4.55439,41.23750
7604.333,1160,1880,4813,4.56516,41.21750
7609.167,1160,1856,4845,4.57595,41.21250
7609.167,1160,1846,4989,4.59015,41.21000
7610.667,1160,1961,4709,4.60094,41.21250
7611.833,1160,1964,4687,4.61515,41.22500
7611.833,1160,1868,4620,4.62595,41.22750
7613.000,1160,1694,4999,4.63672,41.22000
7611.667,1160,1568,5224,4.65094,41.21500
7576.333,1160,1478,5586,4.66516,41.21250
7521.000,1160,1355,6100,4.68625,41.19000
7494.667,1160,1114,6943,4.70733,41.19500
7456.333,1160,926,7310,4.72840,41.18250
7436.500,1200,778,7621,4.74949,41.16500
7424.000,1200,698,7872,4.77058,41.16500
7415.167,1200,649,8096,4.79167,41.16500
7407.167,1200,616,8292,4.81278,41.17250
7397.667,1200,589,8441,4.83387,41.16250
7383.333,1200,546,8691,4.87556,41.15500
7374.333,1200,468,8810,4.91727,41.16500
7366.667,1200,416,8938,4.95897,41.16750
7358.667,1200,382,9056,5.00071,41.16250
7352.000,1200,422,9257,5.04241,41.15750
7346.167,1200,374,9332,5.08412,41.16500
7340.000,1200,324,9370,5.12584,41.17250
7333.667,1200,239,9382,5.16757,41.15000
7328.667,1200,213,9397,5.20928,41.15000
7322.500,1160,117,9383,5.25101,41.15750
7317.000,1160,127,9405,5.29273,41.17000
7312.167,1160,105,9418,5.33447,41.17500
7307.833,1160,394,9659,5.37620,41.19750
7303.500,1160,751,9802,5.41789,41.21750
7301.667,1140,893,9670,5.43900,41.22000
7300.167,1140,1063,8015,5.46010,41.21750
7299.833,1140,1182,7294,5.47432,41.21750
7297.833,1140,1357,6338,5.49541,41.23000
7296.333,1140,1491,5936,5.50962,41.22250
7295.667,1140,1540,5716,5.51686,41.23000
7295.167,1140,1613,5719,5.52411,41.24750
7295.167,1140,1714,5436,5.53133,41.24000
7294.833,1140,1782,5287,5.53858,41.25250
7294.500,1140,1774,5199,5.54581,41.25500
7293.667,1140,1777,5287,5.55303,41.26250
7293.833,1140,1813,5054,5.56027,41.27000
7293.333,1140,1736,5226,5.57105,41.27750
7292.167,1140,1770,5231,5.58184,41.26750
7290.667,1140,1768,5254,5.59605,41.26000
7290.333,1140,1907,4765,5.61027,41.27250
7290.667,1140,1834,5015,5.61750,41.26250
7289.667,1140,1812,5051,5.62475,41.27750
7289.167,1140,1689,5208,5.63198,41.26750
7287.500,1140,1473,5831,5.64619,41.25000
7286.667,1140,1355,6242,5.66041,41.25750
7286.167,1140,1155,6930,5.68149,41.24000
7285.167,1140,1040,7110,5.69571,41.22500
7284.500,1140,873,7386,5.71679,41.21750
7284.000,1140,736,7693,5.73789,41.20500
7282.333,1140,653,7980,5.75898,41.21500
7281.500,1140,591,8190,5.78006,41.21000
7281.000,1140,560,8391,5.80118,41.20750
7279.333,1140,555,8591,5.82226,41.20000
7279.000,1140,548,8767,5.84336,41.21500
7275.667,1140,428,8949,5.90620,41.18750
7274.667,1140,420,8990,5.92729,41.19750
7273.167,1140,399,9032,5.94840,41.18750
7272.333,1140,396,9090,5.96950,41.22000
7271.000,1140,368,9196,6.01123,41.19750
7268.000,1140,320,9273,6.05295,41.20750
7266.500,1140,286,9332,6.09466,41.21000
7263.333,1140,276,9410,6.13640,41.22000
7260.833,1140,287,9494,6.17811,41.22000
7259.500,1140,250,9542,6.21984,41.23250
7257.333,1140,266,9605,6.26156,41.23250
7255.667,1120,178,9612,6.30329,41.24000
7252.500,1120,230,9656,6.34501,41.25250
7251.167,1120,557,9827,6.38674,41.26000
7250.667,1120,783,9882,6.40785,41.28750
7249.833,1120,937,9901,6.42894,41.30500
7249.500,1120,995,9871,6.44317,41.28000
7249.333,1120,1114,9310,6.45740,41.28750
7249.333,1120,1211,8836,6.46818,41.29250
7249.500,1120,1257,8445,6.47897,41.31000
7248.667,1120,1331,7827,6.48978,41.30500
7248.167,1120,1417,7489,6.50056,41.28750
7247.833,1120,1502,7023,6.51135,41.30000
7247.833,1120,1551,6741,6.51858,41.31250
7247.500,1120,1608,6535,6.52581,41.30500
7247.833,1120,1695,6253,6.53304,41.31000
7247.667,1120,1736,6158,6.54028,41.32000
7247.000,1120,1727,5975,6.54752,41.31750
7246.667,1120,1738,5997,6.55476,41.33000
7246.667,1120,1803,5724,6.56199,41.32750
7246.833,1120,1759,5650,6.57277,41.31000
7246.833,1100,1788,5514,6.58356,41.30500
7246.833,1100,1768,5418,6.59434,41.31750
7245.333,1100,1942,5002,6.60856,41.29750
7245.000,1100,1919,4865,6.61580,41.30000
7246.333,1100,1855,4923,6.62661,41.30500
7246.000,1120,1738,5151,6.63383,41.27500
7245.000,1120,1577,5598,6.64463,41.26750
7245.333,1120,1431,6005,6.65884,41.25500
7245.167,1120,1300,6646,6.67308,41.25250
7245.500,1120,1188,7120,6.68727,41.26750
7245.167,1120,1011,7418,6.70836,41.26500
7244.833,1120,851,7660,6.72944,41.26750
7244.333,1120,746,7968,6.75056,41.26000
7244.833,1120,680,8210,6.77162,41.24500
7243.500,1120,630,8408,6.79272,41.23750
7243.500,1120,615,8641,6.81381,41.23750
7243.167,1120,578,8762,6.83492,41.23500
7243.000,1120,562,8871,6.85601,41.26000
7242.000,1120,547,8971,6.87711,41.23000
7241.500,1120,507,9038,6.89821,41.25250
7241.500,1120,474,9087,6.91931,41.23500
7240.833,1120,450,9135,6.94039,41.25750
7239.667,1120,476,9320,6.98212,41.24750
7238.667,1120,429,9372,7.00322,41.23750
7237.833,1120,456,9499,7.04493,41.25250
7236.167,1120,368,9503,7.08666,41.24000
